N,P,K,temperature,humidity,ph,rainfall,label
2.0,140.0,196.0,22.69850136742945,92.71099168630673,5.54090143152532,105.27777773871185,apple
2.0,138.0,199.0,22.287595073519455,91.73176980460953,5.943613962094308,114.82481121567375,apple
18.0,122.0,202.0,23.308338651353093,90.53035338090297,5.820596025534418,113.03649721797558,apple
37.0,134.0,203.0,23.70424006888317,93.6725639187443,5.962472188545927,100.90701934895662,apple
25.0,143.0,199.0,23.798185413977627,92.42097156906952,5.984989003527792,100.90525025913973,apple
35.0,130.0,201.0,22.66130075542545,93.3312385544081,5.834311246747238,103.60959802838833,apple
7.0,139.0,196.0,22.85953464522057,92.42782645843137,5.559581004701631,104.13051770951404,apple
13.0,129.0,204.0,22.589104292797547,91.27475908030917,6.004450318683115,118.11964471425314,apple
27.0,132.0,201.0,22.71853579702041,90.5269651706762,5.921402000832428,104.3148986763359,apple
36.0,138.0,198.0,23.060184027710303,90.95639201038836,6.046716739239984,106.00298332479174,apple
14.0,127.0,204.0,22.359104953144683,92.73474960609276,6.084874173858366,117.75867678103624,apple
25.0,137.0,200.0,23.717318921220656,94.16697677007373,5.903612280562461,105.30253830179171,apple
31.0,137.0,196.0,22.217156988687332,92.30581444800487,6.3140690744859596,121.65429114234817,apple
3.0,142.0,201.0,22.048540335175982,92.72271985485206,5.865477040024731,103.90789685119235,apple
9.0,136.0,203.0,21.20604739348492,92.16469181935464,6.274700742232075,105.85360447447911,apple
1.0,120.0,202.0,23.186430454652985,94.56453507066132,5.869388526411049,109.03620542437304,apple
11.0,139.0,197.0,21.963398971296392,91.46177138968096,6.149348187713861,123.18375716320722,apple
29.0,122.0,199.0,23.08341555474974,92.70329590114848,5.653786508398757,112.93182262679998,apple
26.0,139.0,200.0,23.70149910796881,93.62520124211225,5.970490934742297,104.19499356921513,apple
30.0,121.0,200.0,23.16853418132904,90.38276262902447,5.7298344035191615,110.74992004561093,apple
15.0,142.0,197.0,22.570070219505762,93.17849617462761,5.938226619241016,117.71824577311303,apple
30.0,127.0,203.0,22.490328052500164,92.66278011895184,6.093853729437343,101.18457916955305,apple
26.0,121.0,201.0,22.30731652789025,92.18111813343772,5.912822076568397,109.96679753414763,apple
22.0,125.0,203.0,22.46554030069563,91.93126647907121,6.147033866066675,101.92202886069417,apple
6.0,142.0,203.0,21.92143423399767,93.14926925147806,6.0982575417532265,103.50096022908654,apple
35.0,142.0,196.0,22.66105886058265,93.10119580842954,6.255752309187464,107.8564510414974,apple
12.0,128.0,204.0,22.369692119776293,91.21930786065577,6.130372858617646,118.53681771946083,apple
31.0,145.0,203.0,23.680031118674297,91.03425632105768,6.378067808635108,109.55849715708898,apple
0.0,123.0,204.0,22.08736411212062,92.97236869839018,5.786298906835286,120.83498724283346,apple
7.0,142.0,196.0,23.05879088357462,93.89675424988415,5.860080854168372,104.88044537833215,apple
25.0,131.0,198.0,22.33182737654083,90.96168222585482,5.759689302479984,100.17323883492692,apple
13.0,123.0,201.0,22.470281384783654,91.88264972694115,6.197722773325056,114.77023822874808,apple
3.0,122.0,203.0,22.034358592192532,90.88382662527407,5.903281024796697,124.20938201863466,apple
5.0,137.0,195.0,22.741566257362933,92.30941781898115,6.074728701379428,107.04765124077775,apple
19.0,128.0,201.0,23.406368962056057,91.71381969889644,5.591150321656832,116.0775992956473,apple
14.0,124.0,203.0,23.181008827135688,92.0610037143428,6.209370699788672,109.61746745895191,apple
7.0,143.0,197.0,23.80721275706748,94.298015002135,6.120658712737144,114.44854293060602,apple
16.0,122.0,203.0,22.909228246429493,91.53449145506043,6.107035608306361,114.22030639679444,apple
9.0,138.0,198.0,23.27577796963408,94.38818400245356,5.867979128430831,105.26868226956424,apple
7.0,143.0,195.0,22.99545815081103,93.68581825146802,5.857678633417677,104.72486190693446,apple
26.0,122.0,202.0,22.451008606151735,94.49717054180566,5.670958995039709,106.52483351631477,apple
14.0,138.0,196.0,21.731375856722874,92.83006493752846,6.054308477339718,121.71915291902216,apple
2.0,123.0,204.0,22.39188663217117,91.0060977584104,5.73612673262341,124.80856621234138,apple
9.0,142.0,197.0,23.513159162039845,92.87670441129463,5.626987819407393,118.13286051556949,apple
15.0,124.0,203.0,23.223267502230588,91.62691628033335,6.106762102218483,110.46383873291926,apple
9.0,141.0,200.0,22.032003782907122,90.91621110352274,6.30874025958358,104.53818305383332,apple
1.0,143.0,199.0,22.07497341794753,90.30093307443951,5.605741651728171,111.63890238520112,apple
7.0,142.0,195.0,23.571280525566728,93.4945957176335,5.6298878419195555,104.82233962925424,apple
22.0,141.0,199.0,23.126867236442894,91.83442358223203,5.864295951608751,107.91529558556188,apple
10.0,138.0,198.0,23.33627043429443,93.99357769973217,5.869417692324614,105.04403466266365,apple
30.0,141.0,195.0,23.64371573117471,91.89791969883726,5.809691384545903,116.3753940509346,apple
25.0,126.0,195.0,22.05383264785182,91.89188978217646,5.707610088181346,114.58420821932697,apple
12.0,120.0,196.0,22.0724896517145,93.19310017259397,6.42726811302316,120.43280445989659,apple
3.0,140.0,196.0,22.76306774820473,93.00826505621775,5.613528228904809,104.95184460465377,apple
26.0,120.0,200.0,21.56895251865904,90.63210189831214,6.118371518033146,116.01277608701325,apple
18.0,122.0,202.0,23.186007089008335,91.03718297598253,5.8496207621308125,113.51153441439645,apple
22.0,138.0,201.0,23.55706107753395,92.7756723953701,5.764307345558,107.12300772263751,apple
10.0,139.0,197.0,22.063285155352844,90.88478807524687,6.188212785981985,123.80663018621036,apple
33.0,120.0,202.0,22.551273507411437,94.60387517050519,5.625756729860878,115.17583423067613,apple
30.0,137.0,199.0,22.848676359693133,90.70322996792852,5.6689221081478784,119.04234352756392,apple
7.0,123.0,198.0,22.55755514001195,91.44336935917185,5.7796025579536225,111.73003701400663,apple
34.0,145.0,196.0,22.378090937867505,93.87372520134845,6.265038897532889,110.71857133575915,apple
32.0,120.0,202.0,22.33810973431495,94.28732693081515,5.665622674608196,115.06126899277311,apple
31.0,121.0,200.0,23.175012067147904,90.36841786076843,5.726309504110653,110.57589627297938,apple
15.0,125.0,203.0,22.753242787788373,92.15275106948287,6.2640267073341915,105.17587879316154,apple
30.0,137.0,195.0,22.186519795682194,93.56897371074196,6.327239815023123,121.08582183918422,apple
11.0,142.0,197.0,22.97810747196132,93.31797545408085,5.876648819520782,122.19268048831208,apple
24.0,138.0,195.0,22.436863599938555,91.83521502193564,5.802270745409406,123.90010310518538,apple
28.0,139.0,204.0,22.204051497555863,93.27924098271008,5.7834209474752045,106.35177676427291,apple
35.0,137.0,200.0,21.433013681824605,91.06871032133287,5.69817036612715,103.42296636674833,apple
0.0,144.0,205.0,21.225254788369163,90.10160924219983,5.5215270502044165,113.96353289655414,apple
22.0,141.0,195.0,22.168900736124222,91.69433621528974,6.1871155739301775,120.3228280242887,apple
33.0,138.0,199.0,22.020853422359266,90.58008658260228,6.142793233261842,122.96276160073474,apple
35.0,128.0,204.0,21.423263850556165,93.6567537149289,6.0028810209654075,106.54129424410942,apple
28.0,136.0,200.0,23.023035244568135,92.53703753198823,6.164413383129319,115.31733149606067,apple
16.0,136.0,196.0,23.64061934392689,90.51524172578127,5.861512514997848,103.0335250560578,apple
14.0,124.0,203.0,23.186219048950694,92.00748353622042,6.196719722154694,109.72181957281525,apple
36.0,136.0,201.0,22.32682828024239,92.06415590765866,5.800819842386641,102.42595532651151,apple
9.0,141.0,200.0,22.00938222742616,90.90139035925081,6.290258194472859,104.53745496371326,apple
31.0,135.0,203.0,21.743875853595362,92.97011884015282,5.903912070334337,116.19651956983869,apple
22.0,143.0,195.0,21.91716640613806,91.68762076989236,6.492846733127012,117.14249580932223,apple
21.0,138.0,196.0,23.30367393472644,91.70013566186697,5.937248413914795,122.40896819522233,apple
26.0,137.0,200.0,23.69174612704765,94.03274483446074,5.928302468919292,105.35213442684562,apple
20.0,124.0,202.0,22.443670110288124,92.48353724113242,6.006400852970859,103.86782006547003,apple
14.0,127.0,204.0,22.603356359698438,94.58696258864781,6.222979644032063,116.0525022192169,apple
29.0,121.0,202.0,22.342046147747094,92.71528486989507,5.846303309679009,113.74802038150574,apple
30.0,129.0,197.0,21.73931983178304,92.77552007547435,5.606583488883527,119.79314719096539,apple
31.0,130.0,204.0,22.298627396604573,91.53516660432919,6.074910563400736,108.08216846953445,apple
8.0,124.0,196.0,22.563483719470216,90.6170110201821,5.717618629172828,112.9968089640262,apple
14.0,142.0,202.0,23.334129290475584,91.2226137233512,5.778662234519396,122.52968873860078,apple
12.0,143.0,198.0,23.138794547643354,92.94301785794305,5.824106083020583,122.13208431199047,apple
25.0,139.0,204.0,22.66090865348201,93.20014824114307,5.754424270182157,105.97123989787471,apple
23.0,140.0,201.0,22.840974073919735,92.26941882525011,5.723238484082136,102.5753944938932,apple
27.0,122.0,201.0,22.69719850136358,92.05170550062016,6.4247884790886935,120.23929287417162,apple
36.0,137.0,198.0,22.4838523247608,90.72616640916938,5.706890283880687,109.47820325237066,apple
29.0,122.0,197.0,21.8552885636784,92.43101026679018,5.5983209199040935,107.43212226209218,apple
29.0,122.0,202.0,22.67624415197454,92.89330882250259,6.198551972583838,118.80539045216554,apple
37.0,141.0,197.0,21.998426841213846,91.56972449347191,5.837633904873023,105.44483723780957,apple
29.0,139.0,195.0,23.55416984851711,91.11899026026282,5.60916266969703,116.96832355190796,apple
36.0,137.0,198.0,22.569603112469828,90.42768759507251,5.701961229842503,108.85131484312073,apple
36.0,139.0,198.0,23.40545939545553,91.79929090486216,6.235197795900981,103.8953674439143,apple
6.0,143.0,195.0,22.96141032013453,93.54984364136838,5.854638874665164,104.6989010403038,apple
36.0,126.0,198.0,22.781279540403293,91.81496346678995,5.740478064092182,107.39986837145752,apple
12.0,140.0,197.0,22.28663836596599,93.05412491376505,5.975895354091574,121.91874149338791,apple
27.0,121.0,200.0,21.915749356670823,91.23133840883978,6.227249211171064,118.01903202477835,apple
10.0,125.0,202.0,23.057774617611184,93.22168226892177,6.216132979515978,108.752219149495,apple
3.0,143.0,196.0,23.14876065581187,91.94699148397244,5.847382161992147,111.48338446400477,apple
35.0,143.0,195.0,23.65096375655501,94.27213698409996,6.435481288599268,115.45182246649462,apple
7.0,137.0,199.0,23.327374348337656,93.81881632223151,5.839041148758225,105.15485759627278,apple
6.0,142.0,197.0,23.092589950295547,92.22925556675298,5.783000501661721,116.84917697517493,apple
30.0,137.0,196.0,22.152961100325818,93.57414290451877,6.297132509359761,120.81794622777716,apple
37.0,133.0,203.0,23.082352641652957,93.63745691655228,5.9846163574185045,102.60557340432692,apple
5.0,144.0,204.0,21.421456274522196,92.62427358512241,6.184278573653277,102.80632013248703,apple
2.0,139.0,196.0,22.643521585762052,92.67940757268322,5.650534474225257,105.48296354339644,apple
19.0,125.0,201.0,23.375491053272647,90.99796735058939,5.706989875919574,114.3864774573393,apple
15.0,143.0,197.0,22.637583046452395,93.5086815122895,5.902449800974346,117.2191725890191,apple
13.0,139.0,197.0,21.931836784518293,92.84403267991311,6.00681142642302,121.28373354475602,apple
6.0,140.0,195.0,23.658921673247818,93.22804355657064,5.623588472365452,105.32834569885576,apple
29.0,138.0,197.0,23.257931310674618,90.82197025064954,5.583126235615467,117.72409903126467,apple
37.0,138.0,198.0,22.65305001300615,90.54490957254619,5.748309623994262,108.11226535012014,apple
26.0,121.0,201.0,22.369360169681652,93.33172943857663,5.779783718420384,108.71449148673828,apple
14.0,138.0,197.0,22.08848776834438,92.6429328143398,6.019437138965822,121.04221868494892,apple
27.0,138.0,196.0,22.258797248514963,92.27073135374651,5.822962282192278,122.28229589280362,apple
5.0,143.0,195.0,22.902671294634327,93.40618131060609,5.782423649904239,104.7401309664345,apple
10.0,140.0,197.0,22.27645838169211,90.67224323813201,6.1830350529516505,124.16977819669204,apple
1.0,123.0,205.0,22.321623838268597,91.07278172093113,5.74642638353366,124.47540261196983,apple
15.0,142.0,197.0,22.644142149538485,93.42349184053451,5.910174335954353,116.782757678536,apple
10.0,139.0,197.0,22.155479296753306,90.35223713460248,6.224084496389689,124.3815369573493,apple
32.0,137.0,197.0,22.254034573959153,91.53289808751279,6.270206026237564,122.1746403322878,apple
7.0,141.0,195.0,23.798247112173335,93.46243595215915,5.545216379343605,104.88774750305289,apple
31.0,121.0,200.0,23.22096667161904,90.43411835866802,5.712266636920785,110.20789260219345,apple
30.0,122.0,196.0,21.456686526003224,92.65854478538246,5.574064803498465,106.17828525838597,apple
17.0,121.0,200.0,23.071741331623976,91.12974314168434,5.963453568698586,114.63807233653058,apple
2.0,126.0,202.0,22.41402213500232,90.98116444045485,5.862486485672055,124.6447183696461,apple
0.0,124.0,203.0,22.263149127583905,93.4001301315632,5.757099684103482,121.45001322428894,apple
29.0,136.0,201.0,22.997260925972867,92.63059578439123,6.110599378160598,115.69885471750915,apple
6.0,143.0,197.0,21.877160119588808,91.1793289462157,5.546932187067011,104.61972070303447,apple
19.0,127.0,201.0,23.14231388394064,92.40544798691431,5.704507724215859,116.24524406385258,apple
14.0,126.0,204.0,22.591797495317945,94.18003258157064,6.254276348695722,115.90809248770637,apple
5.0,143.0,197.0,21.323550232970184,90.64589608137642,5.556093566589926,104.58016054644148,apple
5.0,144.0,199.0,21.20230093171333,90.97420185650604,5.737695431357464,104.0228649972125,apple
13.0,124.0,204.0,22.854801457557272,92.68764987460742,6.375656260260527,111.33164660985248,apple
9.0,136.0,202.0,21.162213318309778,91.46370658810201,5.974648304657825,104.41550944790454,apple
32.0,129.0,203.0,22.46098680232398,93.25105628132118,5.999892845940786,101.90606191069848,apple
1.0,129.0,199.0,22.40310968656737,91.50368131056669,5.981320548447404,123.72700696033291,apple
6.0,141.0,195.0,23.317714629332308,92.81199297113939,5.523442200483337,104.82957377988603,apple
13.0,125.0,204.0,23.056338386928815,92.77365336770899,6.381611550464683,108.84010474856672,apple
35.0,140.0,198.0,23.409161225340203,91.34182096630441,6.207585101687521,104.0945989495168,apple
4.0,140.0,195.0,23.344324577052177,93.16555570524531,5.523469632378757,104.97480099048013,apple
5.0,144.0,201.0,21.25896115353224,91.40080989152919,5.853154628376149,103.70834060093475,apple
29.0,144.0,204.0,22.784538677513943,92.14267871184003,6.205319414701903,109.33348768961832,apple
24.0,122.0,202.0,22.444744632718308,94.09850434773541,5.727574154955796,106.24395913878514,apple
12.0,122.0,196.0,22.2380524831227,92.48498747281182,6.233692490613327,118.0735609642609,apple
14.0,122.0,203.0,22.408916599973452,92.4231891628404,6.362021135357576,115.98695783797035,apple
28.0,138.0,196.0,22.200313375117073,92.41377175306233,5.829758182753741,121.75094546396231,apple
7.0,143.0,195.0,23.017375449194414,93.75881600500475,5.8585099600741835,104.7787040390729,apple
15.0,125.0,203.0,22.75099537933846,92.14869042483147,6.263274885404556,105.1568997962959,apple
0.0,144.0,205.0,21.22527676865147,90.10189166575248,5.521601250310211,113.96228477758224,apple
31.0,134.0,196.0,22.006729650740933,93.387365976855,6.060707856583576,120.40115638765417,apple
33.0,139.0,200.0,21.837678713704765,91.18802345708207,6.0621890983754945,122.66228334947259,apple
28.0,143.0,199.0,23.777615050538593,91.14425369652594,5.854269577672873,101.8575027747971,apple
25.0,125.0,196.0,23.065172344872142,91.03127454066632,5.5926881771522465,111.02552350742758,apple
33.0,131.0,203.0,22.577011035278286,93.08449591340658,5.939334684766967,103.96209811407495,apple
26.0,138.0,200.0,23.688941050503562,93.72540570579375,5.9639279776459935,104.6315330220736,apple
22.0,137.0,195.0,22.881586970575018,91.70293130374027,5.801838826398838,124.11222807808846,apple
2.0,124.0,203.0,22.501893519425835,91.95329087847364,5.7209738993861095,124.05813093634409,apple
31.0,137.0,198.0,22.548298125602916,90.69624652901244,5.968773343604831,121.04662836435837,apple
28.0,122.0,199.0,21.84026090715657,93.59438177989057,5.59229809281819,106.59341585159463,apple
30.0,120.0,200.0,23.131228244658377,90.3502493887418,5.737461122878846,110.80658885768648,apple
7.0,140.0,195.0,23.787168905106782,93.61380930130258,5.5670802165708455,104.97810620716653,apple
8.0,138.0,197.0,22.403685113914634,91.97146922203717,5.579804611805243,103.78199825057733,apple
2.0,124.0,203.0,22.499238256623297,91.93042824940298,5.72133964698112,124.07624437381871,apple
9.0,137.0,200.0,22.43994309173952,93.59777677570642,6.0291109656847075,105.55345286929945,apple
2.0,140.0,196.0,22.704533280446757,92.84142247407308,5.5427119507528335,105.04061416278614,apple
14.0,125.0,203.0,22.924106501642157,92.46146968527657,6.321185470379361,106.61879491720065,apple
16.0,125.0,202.0,22.830097872881748,92.25669632418779,6.099083242805136,115.62132971644303,apple
2.0,139.0,198.0,22.175077931537004,91.50959322415895,6.016814305487937,115.06518845762112,apple
29.0,139.0,195.0,23.572157249021323,91.02289899818452,5.573323502270998,116.97606007755394,apple
7.0,143.0,197.0,23.80357338617888,94.03034526332944,6.127508526889681,113.95785953568952,apple
19.0,134.0,196.0,23.443881091387656,90.59653938116878,5.840964634326134,102.24490711506408,apple
30.0,121.0,199.0,22.711402578526005,90.94007831085965,5.6918290838614,109.56622391054829,apple
35.0,125.0,196.0,23.27571542488349,91.23053198509058,5.59306291862174,107.02235631041826,apple
8.0,137.0,199.0,21.405199487739836,90.97187152664183,5.624102081947451,103.01860672268968,apple
29.0,124.0,197.0,22.615725965538452,93.4001756848493,5.854312600137806,122.39885561581676,apple
0.0,123.0,204.0,22.058663774189046,92.96703688570393,5.788558986803882,120.97939406631677,apple
29.0,124.0,197.0,22.637444588439113,93.48610950722941,5.875320545921313,122.51070619790508,apple
17.0,124.0,204.0,22.391580032693675,94.07207696664717,6.113838044032636,116.45189284887492,apple
24.0,142.0,195.0,22.510146944977013,91.43319258385527,6.174419074858311,116.96090563624385,apple
9.0,120.0,199.0,21.41542862184138,91.66601011832086,6.348555740788812,121.76835415099838,apple
28.0,135.0,199.0,23.00753932509732,92.52950817835524,6.235075843763679,114.6329865796037,apple
18.0,124.0,202.0,22.508367403165213,91.5045334993392,6.135045458630265,103.30527956796668,apple
2.0,126.0,202.0,22.58856350829367,92.69954612867016,5.709035593333027,123.46689325441467,apple
29.0,139.0,204.0,23.49950303954261,93.59684920799286,6.114181222905819,116.97446475834967,apple
12.0,143.0,197.0,22.85597823509346,94.57286998052498,6.288951970138163,105.59902809116406,apple
13.0,139.0,197.0,21.945912438260855,92.92411083309952,6.024799733578604,121.7837562606843,apple
22.0,137.0,199.0,23.387473136616915,93.68995817156316,5.745623987326887,103.88752105598546,apple
1.0,123.0,205.0,22.257251072652718,91.48646422520258,5.756188800844805,123.74366273033371,apple
28.0,130.0,196.0,22.126998077623153,94.63318613272573,6.050919916473529,113.08117500407505,apple
15.0,142.0,197.0,22.764774614716647,92.99368623423535,5.937615850664532,116.14482917517128,apple
6.0,144.0,195.0,22.396570284247034,92.57882372198986,5.765323618813941,104.60476398973503,apple
25.0,143.0,198.0,22.989298669205688,91.7482084172919,6.026767007195957,106.56317533966606,apple
29.0,143.0,199.0,23.770279507595507,90.68896671008046,5.807654068681213,102.19708302781339,apple
11.0,141.0,197.0,23.51611885374012,92.03692704602867,6.091679846047685,113.37207441678547,apple
0.0,134.0,202.0,22.82189458677635,92.5942779973642,5.628283523179228,113.3134121847979,apple
0.0,144.0,203.0,21.409833813647243,90.14273169824547,5.539255385055765,113.4678888370784,apple
34.0,140.0,197.0,21.906279272201843,93.55061050652479,5.829046044830741,115.1971297732413,apple
34.0,142.0,203.0,21.154972941109314,90.93444668496876,5.862542823551893,123.19958717444536,apple
4.0,124.0,197.0,23.174583559050184,92.0324311610773,5.686110350848117,112.82146050239564,apple
14.0,137.0,197.0,23.601751199272357,91.17515150496368,5.975854967851542,114.80781676817244,apple
5.0,143.0,197.0,23.29118109234571,93.3856124339575,6.136084273818788,114.47788712531853,apple
29.0,142.0,199.0,23.689047772066765,90.65533633025996,5.792678954112466,102.2378092762257,apple
9.0,140.0,200.0,22.07367723310404,90.96289829498406,6.346569333933031,104.44964325067002,apple
7.0,142.0,199.0,21.493906143867207,90.56367091201156,5.869108439878221,104.52086401602688,apple
12.0,143.0,197.0,22.74939670687675,94.04759513958467,6.303136275740093,105.44445663480941,apple
15.0,141.0,197.0,22.271145154300804,93.25610842831314,5.963158299847559,118.77539968448293,apple
14.0,127.0,204.0,22.359039874901647,92.7660617650511,6.084188064049933,117.7403200058644,apple
25.0,141.0,199.0,23.102020814135987,92.32698233539953,6.001893974932123,107.02262321931308,apple
29.0,141.0,204.0,23.101369568070172,93.18231850923988,5.997035714988644,117.76906577846313,apple
28.0,121.0,201.0,22.87101551940428,92.11252556534114,5.685523499118944,109.29252906671609,apple
25.0,122.0,199.0,22.31210330554958,90.17039756625907,6.023564557183067,111.90607835672657,apple
30.0,136.0,202.0,22.957198004380334,92.776020266381,6.026952307000469,116.29188435862751,apple
11.0,143.0,197.0,23.014346239302213,93.247615531953,5.865758818525311,122.18305948859248,apple
27.0,129.0,195.0,22.016284426378242,94.40050157362225,6.032215414683636,113.81864326587626,apple
28.0,120.0,200.0,22.2006665686056,90.56928403260511,5.944125480309193,114.07604254341035,apple
26.0,139.0,200.0,23.43163122128779,93.24609164548531,5.972991013996851,106.0759570746318,apple
10.0,141.0,197.0,22.65303212614531,92.08052092376657,6.019608525951658,123.11975151516398,apple
6.0,136.0,198.0,21.951409623569536,92.00485774789489,6.268397801857747,107.10029729184151,apple
18.0,135.0,196.0,23.866625955443812,92.61832599738412,5.826012841168137,103.99866465710011,apple
30.0,142.0,203.0,21.856111388846312,92.56970941068892,5.971575284946036,109.17056051151035,apple
11.0,140.0,197.0,22.31670288117297,91.34048081283353,6.122412745478855,121.98665288953578,apple
7.0,140.0,199.0,21.118354505122607,90.51269152891089,5.600331095761763,103.60429448005154,apple
30.0,137.0,205.0,22.9752970906232,93.89666147729763,6.1379315098729625,116.1925760471383,apple
5.0,144.0,198.0,21.1541322099656,90.61152830750277,5.6395397631325,104.29025255131698,apple
27.0,126.0,196.0,21.859050756399597,92.86835000019215,5.794653821728307,119.74216283942991,apple
12.0,143.0,197.0,22.936011150572302,94.88064102483344,6.262199064608786,105.67938306739906,apple
32.0,144.0,203.0,23.414856155623852,91.16755714111174,6.312163972485636,109.51085814004547,apple
9.0,139.0,198.0,23.245408607483284,94.54868552677792,5.876032509221094,105.36289840713381,apple
11.0,122.0,196.0,22.243599920152064,92.30257457363554,6.196219963455153,117.70081717890427,apple
10.0,142.0,197.0,23.618043020676616,92.22327018923338,5.73658822146988,116.12427648214532,apple
6.0,135.0,197.0,22.308851995479714,90.70912807497962,6.132445422857881,124.35377470688822,apple
2.0,144.0,205.0,21.3220806660221,91.3457201217105,5.848387745828298,108.46541357438099,apple
9.0,136.0,204.0,21.2167226854795,92.1943260839663,6.2687571814275564,105.60670843588773,apple
16.0,126.0,204.0,22.457316491947672,94.52283458131252,6.119105786234153,116.45556607761706,apple
9.0,140.0,200.0,22.374882682349146,91.7640641472949,6.271638330215121,104.72089952582469,apple
32.0,121.0,202.0,22.750242094107943,92.91399328730135,5.65848559040281,113.11364683276545,apple
26.0,120.0,200.0,22.040790775251395,90.17223958620822,6.151485851453904,113.2065740925227,apple
2.0,142.0,196.0,22.596036799031136,90.56024436897786,5.74500522774524,110.77771391132177,apple
9.0,120.0,201.0,21.420166260216423,91.38057000868386,6.328959623745332,121.04004356450594,apple
0.0,123.0,199.0,23.644591359941245,93.26166299224451,5.6636711483140685,112.99974011663112,apple
32.0,142.0,203.0,22.32876082091895,92.01237227101294,6.064849366172666,109.2866240389865,apple
37.0,134.0,203.0,23.55619295535608,93.70093981738405,5.954471683395953,101.11764680871994,apple
25.0,139.0,201.0,23.247687462851257,93.00331637670166,5.862696620555046,104.08147713018553,apple
9.0,139.0,200.0,21.860601558386932,90.90135338174396,6.1877103964962625,104.08086743905123,apple
12.0,143.0,198.0,23.154188657633533,92.90533948240733,5.818953688421582,122.12577874234601,apple
3.0,141.0,200.0,22.065969029893964,92.72539120733,5.856594138429496,103.9385774527733,apple
32.0,143.0,203.0,22.65630469749503,91.75759351099445,6.139434333345596,109.35424840341797,apple
27.0,123.0,195.0,22.11100069130081,93.63765847308844,5.976220926679842,120.92506859768967,apple
6.0,142.0,196.0,22.741626159637374,92.15907847655929,5.532836020941094,104.745651972633,apple
39.0,120.0,197.0,23.76628587451962,92.55563938891964,5.881145984082013,119.4926736206599,apple
29.0,139.0,195.0,23.06722365526296,91.53994398528269,5.667456966717191,118.6887280537748,apple
36.0,137.0,199.0,22.07223075452491,90.43012777917455,5.687454644518984,106.50672857582884,apple
31.0,137.0,202.0,22.881883394526145,92.15354390889753,5.735353787761427,118.08158076667505,apple
9.0,136.0,200.0,21.137463328815855,90.99183270480559,5.769094289805527,103.43397333815258,apple
28.0,133.0,198.0,22.74205203396484,93.18254258069653,6.182552277588461,114.11216930182498,apple
27.0,129.0,196.0,22.13935533756596,94.64563181843411,6.0581014606369825,112.9007457682198,apple
28.0,133.0,203.0,23.253380357469545,91.2687600476509,6.055768639558558,107.41727323435026,apple
31.0,138.0,197.0,22.256997763361092,91.3178851113822,6.081783692091268,122.35413555892909,apple
5.0,141.0,197.0,22.660410504420444,91.80061892202535,5.922942383975841,116.31622665559084,apple
15.0,121.0,198.0,22.736948211542042,92.04964486946155,6.149265064457077,116.77572428221869,apple
29.0,122.0,197.0,21.552889634331507,93.05126176017612,5.580455146218119,106.31269431715128,apple
6.0,141.0,195.0,23.22893662067433,92.71137570191432,5.5248898334734085,104.81664102507001,apple
36.0,144.0,196.0,23.44242197612597,94.00117846441096,6.382768102224132,113.49472912024822,apple
4.0,122.0,201.0,23.040626210422623,94.19644723524088,5.939783166702956,109.19448926047765,apple
110.0,91.0,53.0,27.80691723841627,78.611408545141,6.041763742257715,115.36363533523314,banana
93.0,86.0,47.0,28.918796473271996,84.07454479100578,5.702251245707426,110.28334817947425,banana
115.0,92.0,52.0,26.67997572783548,76.69528784737825,6.134306597990456,118.74648594978659,banana
95.0,74.0,49.0,25.969245905947556,80.52651172314955,5.998667633839387,110.0793480041,banana
107.0,81.0,51.0,26.63906797860224,78.8485830673724,5.915283249242752,99.05528205931327,banana
85.0,94.0,48.0,27.8431210574394,79.03319273085368,6.4621534493549655,109.60250706995146,banana
118.0,71.0,55.0,25.985380896927175,83.13082027809958,6.199807464420343,112.2610505378597,banana
81.0,77.0,46.0,25.133100391240824,84.55299652045422,5.722131288315451,110.65103927600262,banana
108.0,89.0,53.0,28.895112598675503,79.91165619385424,5.931578408149431,112.90677521100703,banana
114.0,80.0,51.0,25.953638785773737,82.65142569637804,6.1589198842843205,113.02848306479684,banana
107.0,92.0,50.0,26.672461549509993,81.68306049171161,6.119528060116641,105.98292097980585,banana
107.0,88.0,53.0,28.96725582548955,80.26787849459733,5.906533379116322,112.22733966540571,banana
102.0,71.0,50.0,26.54664777537361,81.39367134415119,6.032292651851117,104.14587830036223,banana
94.0,85.0,51.0,29.207095449978524,76.8785720033197,6.261275573427807,91.94196257906458,banana
111.0,79.0,45.0,26.968513111332292,79.56933658631125,6.2322146600957575,107.70970954001866,banana
100.0,74.0,49.0,26.593369533671204,81.39535958070718,6.240173803700185,109.99561771311866,banana
114.0,81.0,50.0,26.963393610641944,82.40420152817349,6.286535105622074,113.31008916926811,banana
106.0,89.0,53.0,26.407230206790146,83.91653345090218,6.118937379788431,110.64178171530037,banana
93.0,93.0,51.0,26.387220892571452,84.13126854155907,6.084979080181032,115.25928620003056,banana
115.0,71.0,47.0,27.71441463165154,81.66187845278081,6.374065806206769,91.2855205311859,banana
90.0,83.0,51.0,29.10480657220236,78.6724866396162,6.3593775460856605,117.20656876995959,banana
94.0,74.0,50.0,25.992845474043314,80.21929118217501,6.014626528769506,110.0554144631938,banana
113.0,79.0,53.0,26.231462127758657,81.8054605016055,5.915555312650124,96.34397153381478,banana
